From;To;l2b
MOW;AER;2893
MOW;LED;36556
AER;MOW;4072
MOW;SIP;3973
MOW;IST;60203
LED;MOW;14821
IST;MOW;145012
MOW;KRR;13063
MOW;MRV;2226
ROV;MOW;3931
KRR;MOW;12735
MOW;KGD;3108
MRV;MOW;2269
UFA;MOW;33636
OVB;MOW;101681
SVX;MOW;9948
SIP;MOW;3916
MOW;DXB;17246
MOW;OVB;118590
KJA;MOW;15466
MOW;UFA;27353
MOW;AAQ;13136
MOW;MCX;875
MOW;AYT;916257
MOW;ROV;1911
MOW;SVX;21421
MOW;MLE;24275
KGD;MOW;4179
MOW;KJA;25138
MOW;IKT;12970
MCX;MOW;995
KUF;MOW;65219
MOW;SGC;10500
CEK;MOW;139462
KZN;MOW;36538
DXB;MOW;6810
TJM;MOW;8066
SGC;MOW;28182
MOW;TJM;9748
OMS;MOW;31523
MOW;PEE;39197
MOW;CEK;30424
UUD;MOW;127823
MOW;KUF;11390
MOW;OMS;65271
MOW;VOG;72397
MOW;MMK;104014
MLE;MOW;94222
MMK;MOW;26967
AAQ;MOW;41562
RTW;MOW;327669
MOW;RTW;8190
GRV;MOW;24532
MOW;STW;28869
VOZ;MOW;7202
MOW;OGZ;24228
MOW;GDZ;19556
MOW;REN;4306
REN;MOW;3791
OGZ;MOW;10393
GOJ;MOW;252283
NBC;MOW;38187
MOW;IGT;3910
MOW;NBC;16091
MOW;EVN;8036
IJK;MOW;1753
MOW;IJK;3528
MOW;KIV;6670
NOZ;MOW;198307
MOW;ULY;48516
MOW;ARH;2733
ARH;MOW;8234
MOW;NAL;687
MOW;RGK;7146
NUX;MOW;55654
NAL;MOW;859
MOW;BAX;696
KIV;MOW;29261
MOW;GZP;24000
MOW;KVX;71584
MOW;SCW;6391
CSY;MOW;7940
SCW;MOW;4531
IGT;MOW;30361
MOW;BAK;1259
BAX;MOW;23447
MOW;BEG;11130
MOW;KRO;34980
TOF;MOW;24568
YKS;MOW;8783
MOW;NOJ;1138
MOW;PAR;88095
MOW;NUX;28214
MOW;MSQ;10403
MOW;KVK;2382
MOW;YKS;857
MOW;URS;1379
NOJ;MOW;1739
URS;MOW;2509
MOW;OSW;30378
LWN;MOW;14623
MOW;HMA;2571
MOW;SHJ;11995
MOW;HTA;2644
OSW;MOW;11892
MOW;NSK;23300
HMA;MOW;4991
UCT;MOW;1208
SLY;MOW;103
MOW;CEE;3239
MOW;NNM;1468
MOW;UUA;31863
MOW;SLY;97
SHJ;MOW;4326
NER;MOW;1720
MOW;BTK;12020
MOW;NER;326
NYM;MOW;643
MOW;NYM;193
UUA;MOW;1563
MOW;KYZ;7609
MOW;MJZ;1754
MJZ;MOW;1640
PYJ;MOW;5985
MOW;PYJ;376
MOW;PWE;1857
EYK;MOW;891
OVS;MOW;160
URJ;MOW;183
MOW;ODO;120
